algorithm,parameter,k,sse,n_clusters,silhouette,calinski_harabasz,davies_bouldin,noise_points
K-Means,k=1,1.0,30084.9,1,,,,
K-Means,k=2,2.0,12794.0,2,0.4699,5692.4,0.8079,
K-Means,k=3,3.0,9564.9,3,0.3727,4517.0,1.0538,
K-Means,k=4,4.0,7407.2,4,0.3807,4296.5,0.97,
K-Means,k=5,5.0,6157.1,5,0.3673,4089.3,1.012,
K-Means,k=6,6.0,5261.7,6,0.363,3970.4,0.9404,
K-Means,k=7,7.0,4568.0,7,0.3651,3916.7,0.9175,
K-Means,k=8,8.0,4130.5,8,0.3514,3775.6,0.9788,
K-Means,k=9,9.0,3742.6,9,0.3512,3699.6,0.9944,
K-Means,k=10,10.0,3472.8,10,0.3385,3579.4,0.9993,
K-Means,k=11,11.0,3245.7,11,0.3334,3475.6,1.0162,
K-Means,k=12,12.0,3046.2,12,0.3297,3390.9,0.9941,
Mean Shift,bandwidth=0.5,,,116,0.254,1357.3,0.9434,
Mean Shift,bandwidth=0.6,,,56,0.2489,1593.2,1.0888,
Mean Shift,bandwidth=0.7,,,29,0.2303,1524.0,1.2038,
Mean Shift,bandwidth=0.8,,,16,0.2745,1939.9,1.2498,
Mean Shift,bandwidth=0.9,,,10,0.307,2602.6,1.0951,
Mean Shift,bandwidth=1.0,,,7,0.2921,2673.7,1.2219,
Mean Shift,bandwidth=1.1,,,5,0.306,2749.6,1.261,
Mean Shift,bandwidth=1.2,,,4,0.3352,3183.6,1.1094,
Mean Shift,bandwidth=1.3,,,4,0.3271,3159.7,1.0679,
Mean Shift,bandwidth=1.4,,,3,0.3664,4377.7,1.0002,
Mean Shift,bandwidth=1.5,,,3,0.3694,4432.1,1.0105,
Mean Shift,bandwidth=1.6,,,3,0.3708,4463.8,1.0275,
DBSCAN,"eps=0.20, min_samples=5",,,52,-0.134,210.2,1.735,722.0
DBSCAN,"eps=0.20, min_samples=15",,,12,-0.2776,366.8,1.0816,2730.0
DBSCAN,"eps=0.20, min_samples=25",,,3,-0.0993,679.8,0.7618,3447.0
DBSCAN,"eps=0.20, min_samples=35",,,2,-0.043,700.0,0.7306,3665.0
DBSCAN,"eps=0.20, min_samples=45",,,3,-0.1521,233.2,0.7898,3935.0
DBSCAN,"eps=0.25, min_samples=5",,,24,-0.1434,430.3,2.8527,351.0
DBSCAN,"eps=0.25, min_samples=15",,,19,-0.2521,361.1,1.6,1963.0
DBSCAN,"eps=0.25, min_samples=25",,,5,-0.0959,858.2,0.9745,2802.0
DBSCAN,"eps=0.25, min_samples=35",,,2,0.0414,1135.0,0.7577,3387.0
DBSCAN,"eps=0.25, min_samples=45",,,2,-0.0012,889.7,0.7385,3536.0
DBSCAN,"eps=0.30, min_samples=5",,,10,0.0732,968.4,3.4851,204.0
DBSCAN,"eps=0.30, min_samples=15",,,17,-0.0508,533.7,1.9685,1048.0
DBSCAN,"eps=0.30, min_samples=25",,,6,-0.1134,977.2,1.9738,2294.0
DBSCAN,"eps=0.30, min_samples=35",,,2,0.1821,2156.3,0.842,2788.0
DBSCAN,"eps=0.30, min_samples=45",,,4,-0.0673,744.6,0.7975,3180.0
DBSCAN,"eps=0.35, min_samples=5",,,5,0.2095,1884.1,5.5095,132.0
DBSCAN,"eps=0.35, min_samples=15",,,5,0.1778,1797.7,6.4555,597.0
DBSCAN,"eps=0.35, min_samples=25",,,9,-0.0229,868.4,2.0618,1505.0
DBSCAN,"eps=0.35, min_samples=35",,,4,-0.0255,1490.0,1.1912,2327.0
DBSCAN,"eps=0.35, min_samples=45",,,3,0.0225,1615.2,1.1236,2637.0
Agglomerative,k=2,2.0,,2,0.4269,4207.8,0.8464,
Agglomerative,k=3,3.0,,3,0.3416,3932.8,1.0962,
Agglomerative,k=4,4.0,,4,0.3219,3460.0,1.0811,
Agglomerative,k=5,5.0,,5,0.3272,3388.4,1.0605,
Agglomerative,k=6,6.0,,6,0.3037,3257.8,1.0556,
Agglomerative,k=7,7.0,,7,0.3058,3195.6,1.0316,
Agglomerative,k=8,8.0,,8,0.3131,3198.1,1.1371,
Agglomerative,k=9,9.0,,9,0.3047,3077.0,1.1087,
Agglomerative,k=10,10.0,,10,0.303,2956.6,1.0827,
Agglomerative,k=11,11.0,,11,0.2927,2880.3,1.1147,
Agglomerative,k=12,12.0,,12,0.2827,2814.3,1.1141,
