STOCK_CODE,DESCRIPTION,LINE_ITEMS,UNITS,REVENUE,CUSTOMERS,AVG_UNIT_PRICE,REFUNDS,NET_REVENUE,REVENUE_PCT
23843,"PAPER CRAFT , LITTLE BIRDIE",1,80995,168469.6,1,2.08,168469.6,0.0,2.06
22423,REGENCY CAKESTAND 3 TIER,1574,10820,124683.25,844,12.5,8724.45,115958.8,1.53
85123A,WHITE HANGING HEART T-LIGHT HOLDER,1816,33152,90945.4,818,2.9,5267.9,85677.5,1.11
85099B,JUMBO BAG RED RETROSPOT,1531,44022,81421.34,611,2.02,1937.22,79484.12,1.0
23166,MEDIUM CERAMIC TOP STORAGE JAR,198,77916,81416.73,138,1.22,77479.64,3937.09,1.0
47566,PARTY BUNTING,1366,15089,67991.73,700,4.88,1156.8,66834.93,0.83
84879,ASSORTED COLOUR BIRD ORNAMENT,1302,33004,52760.44,652,1.68,81.12,52679.32,0.65
23084,RABBIT NIGHT LIGHT,823,27153,51251.24,450,2.01,208.4,51042.84,0.63
22502,PICNIC BASKET WICKER SMALL,210,1364,46676.4,160,11.93,385.25,46291.15,0.57
79321,CHILLI LIGHTS,457,8176,40065.77,198,5.54,349.7,39716.07,0.49
